train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
rebel_full,Gemma3-1B,5,conll04,,,,,,
rebel_full,Qwen2.5-1.5B,6,rebel,0.6286,0.6458,0.6113,0.6372,0.6486,0.6429
rebel_full,Qwen2.5-1.5B,6,rebel-full,0.7101,0.6956,0.6879,0.7219,0.7037,0.7127
rebel_full,Qwen2.5-1.5B,6,lagrange,0.5974,0.4674,0.4970,0.5475,0.4276,0.4802
rebel_full,Qwen2.5-1.5B,6,tum_p99,0.5222,0.4875,0.4795,0.4686,0.4471,0.4576
rebel_full,Qwen2.5-1.5B,6,wikinre,0.5352,0.7765,0.5935,0.3634,0.7644,0.4926
rebel_full,Qwen2.5-1.5B,6,tum_e3,,,,,,
rebel_full,Qwen2.5-1.5B,6,nyt,,,,,,
rebel_full,Qwen2.5-1.5B,6,webnlg,,,,,,
rebel_full,Qwen2.5-1.5B,6,conll04,,,,,,
rebel_full,Llama3.2-1B,5,rebel,0.6614,0.6303,0.6190,0.6497,0.6052,0.6267
rebel_full,Llama3.2-1B,5,rebel-full,0.7117,0.6862,0.6822,0.7183,0.6828,0.7001
rebel_full,Llama3.2-1B,5,lagrange,0.6077,0.4258,0.4681,0.5508,0.3771,0.4476
rebel_full,Llama3.2-1B,5,tum_p99,0.5662,0.4943,0.5006,0.5100,0.4292,0.4661
rebel_full,Llama3.2-1B,5,wikinre,0.5654,0.8012,0.6175,0.3701,0.7713,0.5002
rebel_full,Llama3.2-1B,5,tum_e3,,,,,,
rebel_full,Llama3.2-1B,5,nyt,,,,,,
rebel_full,Llama3.2-1B,5,webnlg,,,,,,
rebel_full,Llama3.2-1B,5,conll04,,,,,,
lagrange,Gemma3-1B,6,rebel,0.3993,0.5473,0.4144,0.3387,0.4975,0.4030
lagrange,Gemma3-1B,6,rebel-full,,,,,,
lagrange,Gemma3-1B,6,lagrange,0.8631,0.8308,0.8333,0.8436,0.8130,0.8281
lagrange,Gemma3-1B,6,tum_p99,0.4851,0.6272,0.5059,0.4016,0.5721,0.4719
lagrange,Gemma3-1B,6,wikinre,0.6408,0.8701,0.7007,0.5068,0.8529,0.6358
lagrange,Gemma3-1B,6,tum_e3,0.4832,0.5726,0.4847,0.4069,0.5300,0.4604
lagrange,Gemma3-1B,6,nyt,0.0713,0.2482,0.0975,0.0593,0.2341,0.0947
lagrange,Gemma3-1B,6,webnlg,0.4615,0.3671,0.3863,0.4297,0.3428,0.3814
lagrange,Gemma3-1B,6,conll04,0.2907,0.3353,0.2922,0.2599,0.2741,0.2668
lagrange,Qwen2.5-1.5B,6,rebel,0.4188,0.5711,0.4399,0.3763,0.5140,0.4345
lagrange,Qwen2.5-1.5B,6,rebel-full,,,,,,
lagrange,Qwen2.5-1.5B,6,lagrange,0.8551,0.8480,0.8409,0.8445,0.8312,0.8378
lagrange,Qwen2.5-1.5B,6,tum_p99,0.4922,0.6619,0.5269,0.4313,0.6104,0.5054
lagrange,Qwen2.5-1.5B,6,wikinre,0.5517,0.8703,0.6422,0.4687,0.8536,0.6051
lagrange,Qwen2.5-1.5B,6,tum_e3,0.4848,0.6260,0.5075,0.4260,0.5746,0.4893
lagrange,Qwen2.5-1.5B,6,nyt,0.0865,0.4602,0.1371,0.0823,0.4399,0.1386
lagrange,Qwen2.5-1.5B,6,webnlg,0.4162,0.6294,0.4800,0.3804,0.6015,0.4661
lagrange,Qwen2.5-1.5B,6,conll04,0.3110,0.4982,0.3453,0.2491,0.4368,0.3173
lagrange,Llama3.2-1B,7,rebel,0.4120,0.5563,0.4272,0.3658,0.4999,0.4225
lagrange,Llama3.2-1B,7,rebel-full,,,,,,
lagrange,Llama3.2-1B,7,lagrange,0.8625,0.8330,0.8354,0.8520,0.8140,0.8325
lagrange,Llama3.2-1B,7,tum_p99,0.5051,0.6450,0.5257,0.4285,0.5813,0.4933
lagrange,Llama3.2-1B,7,wikinre,0.6492,0.8773,0.7144,0.5463,0.8603,0.6682
lagrange,Llama3.2-1B,7,tum_e3,0.5183,0.6506,0.5342,0.4462,0.5884,0.5075
lagrange,Llama3.2-1B,7,nyt,0.0497,0.3952,0.0838,0.0466,0.3773,0.0830
lagrange,Llama3.2-1B,7,webnlg,0.3843,0.5380,0.4269,0.3580,0.5215,0.4246
lagrange,Llama3.2-1B,7,conll04,0.1505,0.2105,0.1587,0.1434,0.1872,0.1624
tekgen,Gemma3-1B,3,rebel,0.4867,0.4333,0.4177,0.4270,0.3399,0.3785
tekgen,Gemma3-1B,3,rebel-full,,,,,,
tekgen,Gemma3-1B,3,lagrange,0.7237,0.5102,0.5790,0.7145,0.4528,0.5543
tekgen,Gemma3-1B,3,tum_p99,0.5911,0.5100,0.5122,0.4950,0.4215,0.4553
tekgen,Gemma3-1B,3,wikinre,0.8382,0.8909,0.8487,0.7340,0.8735,0.7977
tekgen,Gemma3-1B,3,tum_e3,0.5588,0.4698,0.4763,0.4833,0.3938,0.4340
tekgen,Gemma3-1B,3,nyt,0.0692,0.2802,0.0903,0.0493,0.2650,0.0831
tekgen,Gemma3-1B,3,webnlg,0.4022,0.4438,0.3911,0.3881,0.4223,0.4045
tekgen,Gemma3-1B,3,conll04,0.1963,0.3090,0.2187,0.1906,0.2607,0.2202
tekgen,Qwen2.5-1.5B,3,rebel,0.4684,0.4144,0.4039,0.4207,0.3237,0.3659
tekgen,Qwen2.5-1.5B,3,rebel-full,,,,,,
tekgen,Qwen2.5-1.5B,3,lagrange,0.7039,0.5118,0.5749,0.6877,0.4540,0.5469
tekgen,Qwen2.5-1.5B,3,tum_p99,0.5678,0.5031,0.5050,0.4750,0.4225,0.4472
tekgen,Qwen2.5-1.5B,3,wikinre,0.8078,0.8620,0.8221,0.7265,0.8474,0.7823
tekgen,Qwen2.5-1.5B,3,tum_e3,0.5445,0.4626,0.4724,0.4607,0.3871,0.4207
tekgen,Qwen2.5-1.5B,3,nyt,0.1061,0.2781,0.1364,0.0917,0.2582,0.1354
tekgen,Qwen2.5-1.5B,3,webnlg,0.3693,0.6134,0.4337,0.3422,0.5930,0.4340
tekgen,Qwen2.5-1.5B,3,conll04,0.2473,0.3416,0.2539,0.0986,0.2851,0.1466
tekgen,Llama3.2-1B,2,rebel,0.5685,0.3957,0.4352,0.5587,0.3014,0.3916
tekgen,Llama3.2-1B,2,rebel-full,,,,,,
tekgen,Llama3.2-1B,2,lagrange,0.7243,0.4477,0.5288,0.6536,0.3864,0.4857
tekgen,Llama3.2-1B,2,tum_p99,0.6262,0.4594,0.5002,0.5646,0.3563,0.4369
tekgen,Llama3.2-1B,2,wikinre,0.8822,0.8836,0.8725,0.8179,0.8590,0.8380
tekgen,Llama3.2-1B,2,tum_e3,0.6637,0.4814,0.5281,0.5698,0.3674,0.4468
tekgen,Llama3.2-1B,2,nyt,0.0833,0.2501,0.0975,0.0590,0.2476,0.0953
tekgen,Llama3.2-1B,2,webnlg,0.4585,0.4543,0.4217,0.4061,0.4353,0.4202
tekgen,Llama3.2-1B,2,conll04,0.3026,0.3047,0.2855,0.2981,0.2472,0.2703
tum_p99,Gemma3-1B,6,rebel,0.4432,0.4742,0.4232,0.4281,0.4336,0.4308
tum_p99,Gemma3-1B,6,rebel-full,,,,,,
